strain	row_ID	col_ID	OD	limit_check	format_check	target_OD	transfer_volume_required	transfer_max_volume_check	correction_factor_volume	transfer_volume	sum_of_volumes	total_volume_check	total_volume_correction_factor	mimimum_transfer_volume_check	total_volume_fail	mimimum_transfer_volume_fail	format_fail	limit_fail	transfer_volume_fail	correction_factor_combined	error_type
donor	F	6	0.1465	TRUE	TRUE	0.1	204.77815699658703	FALSE	0.15283333333333332	31.29692832764505	381.29692832764505	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.15	limit_fail
donor	F	7	0.2075	TRUE	TRUE	0.1	144.57831325301206	FALSE	0.05833333333333321	8.433734939759018	358.433734939759	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.06	limit_fail
donor	F	8	0.2224	TRUE	TRUE	0.1	134.89208633093526	FALSE	0.06416666666666655	8.65557553956833	358.6555755395683	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.06	limit_fail
donor	F	9	0.2311	TRUE	TRUE	0.1	129.81393336218088	FALSE	0.016333333333333217	2.120294244915606	352.1202942449156	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.02	limit_fail
donor	F	10	0.1973	TRUE	TRUE	0.1	152.0527116066903	TRUE	1	152.0527116066903	-49847.947288393036	TRUE	1	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	1	limit_fail
donor	F	11	0.2054	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	F	12	0.2128	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	G	1	0.17859999999999998	TRUE	TRUE	0.1	167.973124300112	TRUE	1	167.973124300112	192.4389536917284	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	G	2	0.1243	TRUE	TRUE	0.1	241.35156878519712	FALSE	0.7035	169.79082864038617	519.7908286403862	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.7	transfer_volume_fail
donor	G	3	0.1732	TRUE	TRUE	0.1	173.21016166281757	FALSE	0.6159999999999999	106.6974595842956	456.69745958429553	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.62	transfer_volume_fail
