strain	row_ID	col_ID	OD	limit_check	format_check	target_OD
receiver	E	6	0.6516	TRUE	TRUE	0.25
receiver	E	7	0.6047	TRUE	TRUE	0.25
receiver	E	8	0.5821999999999999	TRUE	TRUE	0.25
receiver	E	9	0.6907	TRUE	TRUE	0.25
receiver	E	10	0.5714	TRUE	TRUE	0.25
receiver	E	11	0.49429999999999996	TRUE	TRUE	0.25
receiver	E	12	0.4798	TRUE	TRUE	0.25
receiver	F	1	0.5317	TRUE	TRUE	0.25
receiver	F	2	0.5877	TRUE	TRUE	0.25
receiver	F	3	0.7091999999999999	TRUE	TRUE	0.25
receiver	F	4	0.6401	TRUE	TRUE	0.25
receiver	F	5	0.6158	TRUE	TRUE	0.25
receiver	F	6	0.6432	TRUE	TRUE	0.25
receiver	F	7	0.6486	TRUE	TRUE	0.25
receiver	F	8	0.623	TRUE	TRUE	0.25
receiver	F	9	0.5	TRUE	TRUE	0.25
receiver	F	10	0.45220000000000005	TRUE	TRUE	0.25
receiver	F	11	0.44389999999999996	TRUE	TRUE	0.25
receiver	F	12	0.5033	TRUE	TRUE	0.25
receiver	G	1	0.5517	TRUE	TRUE	0.25
receiver	G	2	0.4907	TRUE	TRUE	0.25
receiver	G	3	0.6648	TRUE	TRUE	0.25
receiver	G	4	0.5265	TRUE	TRUE	0.25
receiver	G	5	0.52	TRUE	TRUE	0.25
receiver	G	6	0.5639	TRUE	TRUE	0.25
receiver	G	7	0.6256999999999999	TRUE	TRUE	0.25
receiver	G	8	0.6144	TRUE	TRUE	0.25
receiver	G	9	0.5091	TRUE	TRUE	0.25
receiver	G	10	0.4065	TRUE	TRUE	0.25
receiver	G	11	0.4305	TRUE	TRUE	0.25
receiver	G	12	0.46509999999999996	TRUE	TRUE	0.25
receiver	H	1	0.5038	TRUE	TRUE	0.25
receiver	H	2	0.5243	TRUE	TRUE	0.25
receiver	H	3	0.4727	TRUE	TRUE	0.25
receiver	H	4	0.5175	TRUE	TRUE	0.25
receiver	H	5	0.4727	TRUE	TRUE	0.25
receiver	H	6	0.5019	TRUE	TRUE	0.25
receiver	H	7	0.5595	TRUE	TRUE	0.25
receiver	H	8	0.5397	TRUE	TRUE	0.25
receiver	H	9	0.469	TRUE	TRUE	0.25
receiver	H	10	0.49470000000000003	TRUE	TRUE	0.25
receiver	H	11	0.5623	TRUE	TRUE	0.25
receiver	H	12	0.531	TRUE	TRUE	0.25
